,TAMBON_E,TAMBON_T,AMPHOE_E,AMPHOE_T,AM_ID,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
104003,Bang Phai,บางไผ่,Bang Khae,บางแค,1040,10,กรุงเทพมหานคร,Bangkok,13.741,100.385
104004,Lak Song,หลักสอง,Bang Khae,บางแค,1040,10,กรุงเทพมหานคร,Bangkok,13.683,100.396
104101,Thung Song Hong,ทุ่งสองห้อง,Lak Si,หลักสี่,1041,10,กรุงเทพมหานคร,Bangkok,13.883,100.564
104102,Talat Bang Khen,ตลาดบางเขน,Lak Si,หลักสี่,1041,10,กรุงเทพมหานคร,Bangkok,13.870999999999999,100.58
104201,Sai Mai,สายไหม,Sai Mai,สายไหม,1042,10,กรุงเทพมหานคร,Bangkok,13.921,100.654
104202,O Ngoen,ออเงิน,Sai Mai,สายไหม,1042,10,กรุงเทพมหานคร,Bangkok,13.895999999999999,100.67200000000001
104203,Khlong Thanon,คลองถนน,Sai Mai,สายไหม,1042,10,กรุงเทพมหานคร,Bangkok,13.898,100.63
104301,Khan Na Yao,คันนายาว,Khan Na Yao,คันนายาว,1043,10,กรุงเทพมหานคร,Bangkok,13.821,100.677
104401,Saphan Sung,สะพานสูง,Saphan Sung,สะพานสูง,1044,10,กรุงเทพมหานคร,Bangkok,13.761,100.68799999999999
104501,Wang Thonglang,วังทองหลาง,Wang Thonglang,วังทองหลาง,1045,10,กรุงเทพมหานคร,Bangkok,13.779000000000002,100.609
104601,Sam Wa Tawan Tok,สามวาตะวันตก,Khlong Sam Wa,คลองสามวา,1046,10,กรุงเทพมหานคร,Bangkok,13.889000000000001,100.708
104602,Sam Wa Tawan Ok,สามวาตะวันออก,Khlong Sam Wa,คลองสามวา,1046,10,กรุงเทพมหานคร,Bangkok,13.895999999999999,100.76
104603,Bang Chan,บางชัน,Khlong Sam Wa,คลองสามวา,1046,10,กรุงเทพมหานคร,Bangkok,13.839,100.7
104604,Sai Kong Din,ทรายกองดิน,Khlong Sam Wa,คลองสามวา,1046,10,กรุงเทพมหานคร,Bangkok,13.854000000000001,100.745
104605,Sai Kong Din Tai,ทรายกองดินใต้,Khlong Sam Wa,คลองสามวา,1046,10,กรุงเทพมหานคร,Bangkok,13.860999999999999,100.786
104701,Bang Na,บางนา,Bang Na,บางนา,1047,10,กรุงเทพมหานคร,Bangkok,13.672,100.616
104801,Thawi Watthana,ทวีวัฒนา,Thawi Watthana,ทวีวัฒนา,1048,10,กรุงเทพมหานคร,Bangkok,13.758,100.348
104802,Sala Thammasop,ศาลาธรรมสพน์,Thawi Watthana,ทวีวัฒนา,1048,10,กรุงเทพมหานคร,Bangkok,13.783,100.39
104901,Bang Mot,บางมด,Thung Khru,ทุ่งครุ,1049,10,กรุงเทพมหานคร,Bangkok,13.651,100.51
104902,Thung Khru,ทุ่งครุ,Thung Khru,ทุ่งครุ,1049,10,กรุงเทพมหานคร,Bangkok,13.614,100.49700000000001
105001,Bang Bon,บางบอน,Bang Bon,บางบอน,1050,10,กรุงเทพมหานคร,Bangkok,13.645999999999999,100.37
101506,Dao Khanong,ดาวคะนอง,Thon Buri,ธนบุรี,1015,10,กรุงเทพมหานคร,Bangkok,13.6962555,100.4863429
101507,Samre,สำเหร่,Thon Buri,ธนบุรี,1015,10,กรุงเทพมหานคร,Bangkok,13.7051156,100.48998
102704,Nawamin,นวมินทร์,Bueng Kum,บึงกุ่ม,1027,10,กรุงเทพมหานคร,Bangkok,13.8019807,100.64792990000001
102705,Nuan Chan,นวลจันทร์,Bueng Kum,บึงกุ่ม,1027,10,กรุงเทพมหานคร,Bangkok,13.834879199999998,100.63771340000001
102902,Wong Sawang,วงศ์สว่าง,Bang Sue,บางซื่อ,1029,10,กรุงเทพมหานคร,Bangkok,13.8298636,100.526496
103002,Sena Nikhom,เสนานิคม,Chatuchak,จตุจักร,1030,10,กรุงเทพมหานคร,Bangkok,13.8357986,100.5823432
103003,Chantharakasem,จันทรเกษม,Chatuchak,จตุจักร,1030,10,กรุงเทพมหานคร,Bangkok,13.81861252,100.5770515
103004,Chomphon,จอมพล,Chatuchak,จตุจักร,1030,10,กรุงเทพมหานคร,Bangkok,13.80756879,100.5684275
103005,Chatuchak,จตุจักร,Chatuchak,จตุจักร,1030,10,กรุงเทพมหานคร,Bangkok,13.8157541,100.5597347
103604,Don Mueang,ดอนเมือง,Don Mueang,ดอนเมือง,1036,10,กรุงเทพมหานคร,Bangkok,13.922042000000001,100.6027904
103605,Sanam Bin,สนามบิน,Don Mueang,ดอนเมือง,1036,10,กรุงเทพมหานคร,Bangkok,13.9192697,100.60419909999999
104302,Ram Inthra,รามอินทรา,Khan Na Yao,คันนายาว,1043,10,กรุงเทพมหานคร,Bangkok,13.8389185,100.6619364
104502,Saphan Song,สะพานสอง,Wang Thonglang,วังทองหลาง,1045,10,กรุงเทพมหานคร,Bangkok,13.7970837,100.59061109999999
104503,Khlong Chaokhun Sing,คลองเจ้าคุณสิงห์,Wang Thonglang,วังทองหลาง,1045,10,กรุงเทพมหานคร,Bangkok,13.78504683,100.6223646
104504,Phlapphla,พลับพลา,Wang Thonglang,วังทองหลาง,1045,10,กรุงเทพมหานคร,Bangkok,13.759592199999998,100.6010342
