TA_ID,TAMBON_E,TAMBON_T,AMPHOE_E,AMPHOE_T,AM_ID,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG,geometry
100101,Phraborom Maharatchawang,พระบรมมหาราชวัง,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.751,100.492,"POLYGON ((100.4945250630001 13.75759217300003, 100.4948627630001 13.75727175200007, 100.494883572 13.75724735000006, 100.4949294410001 13.75720728900006, 100.4949329300001 13.75720556000005, 100.4949351980001 13.75720092200004, 100.494980538 13.75714754900002, 100.49512817 13.75691727800006, 100.4952055360001 13.75662756500003, 100.49521194 13.75658818200003, 100.4953182990001 13.75609126800003, 100.4953984250001 13.75569305100004, 100.4955902610001 13.75477213500005, 100.4957775460001 13.75395743100006, 100.495986126 13.75303641300007, 100.4961390780001 13.75236880000006, 100.4962483320001 13.75126971500003, 100.49628613 13.75086285200007, 100.4963706870001 13.74988719700002, 100.4963288340001 13.74848521400003, 100.4962917870001 13.74747641700003, 100.4962819200001 13.74628665200004, 100.4962822850001 13.74552055400005, 100.496375625 13.74502166200006, 100.496438991 13.74462695500006, 100.49645422 13.74447316000004, 100.4964425220001 13.74436027500008, 100.4964200790001 13.74428583500003, 100.4963616860001 13.74419240600002, 100.4962481200001 13.74405861500003, 100.495030506 13.74279709200005, 100.4948757320001 13.74263419500005, 100.49431179 13.74174269800005, 100.4934412370001 13.74080221800006, 100.4933739450001 13.74085231500004, 100.493115275 13.74107647800002, 100.4924440170001 13.74167151100005, 100.492299179 13.74179668500005, 100.492087918 13.74202622700005, 100.4919697980001 13.74217267100005, 100.4919457140001 13.74220332500005, 100.491608053 13.74268676300005, 100.4903777740001 13.74444817000006, 100.4898498270001 13.74530386600003, 100.4890239370001 13.74664244900003, 100.4886357730001 13.74740974400004, 100.4882992500001 13.74820949400004, 100.488274199 13.74826729900008, 100.4881530900001 13.74867253200006, 100.4879777960001 13.74938093200007, 100.487871102 13.75014993400004, 100.487782866 13.75090864700007, 100.4877008450001 13.75183456100007, 100.4876445370001 13.75270722700003, 100.48767867 13.75344598700008, 100.4876948990001 13.75427526000004, 100.4877071670001 13.75494073400006, 100.487730044 13.75527053100006, 100.4877691 13.75577539800003, 100.487811558 13.75609263400003, 100.4878687650001 13.75645951200005, 100.48794001 13.75684893100004, 100.488109008 13.75743321100003, 100.4883938710001 13.75814901000007, 100.4888179070001 13.75903344000005, 100.4892441140001 13.75979922200003, 100.489252837 13.75981271900002, 100.4896983420001 13.76052073500006, 100.4902458590001 13.76118748600004, 100.490842322 13.76181890200007, 100.4909719880001 13.76192872400003, 100.4914756360001 13.76126808300006, 100.491872857 13.76076565700004, 100.4922231880001 13.76032254600005, 100.4928812320001 13.75948815700002, 100.4935771840001 13.75868966200005, 100.4938635650001 13.75836667400006, 100.4939444810001 13.75827757400003, 100.4945250630001 13.75759217300003))"
100102,Wang Burapha Phirom,วังบูรพาภิรมย์,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.744000000000002,100.499,"POLYGON ((100.5013079340001 13.74800340100006, 100.5016950250001 13.74798051600004, 100.5023634630001 13.74793598800005, 100.5029229820001 13.74788999400005, 100.50320988 13.74786581800004, 100.503296805 13.74785450900004, 100.5034667730001 13.74780077300005, 100.503589074 13.74776997600003, 100.5037434500001 13.74775384300005, 100.504115863 13.74770677300006, 100.5040837970001 13.74757248900005, 100.5038981980001 13.74684759900003, 100.503661799 13.74581872900006, 100.5035193730001 13.74538299900007, 100.5034642110001 13.74521585300005, 100.503370497 13.74503615200007, 100.503183666 13.74475228200004, 100.502728968 13.74411564200005, 100.501536011 13.74237783900003, 100.5009329790001 13.74138693400005, 100.5007468970001 13.74106511000002, 100.4998066900001 13.73863255700007, 100.4995822810001 13.73869264600006, 100.4987208310001 13.73891710900006, 100.498103954 13.73910202800005, 100.4976478980001 13.73921848600003, 100.4962704370001 13.73958609800007, 100.4955755410001 13.73979382000005, 100.4945826860001 13.74021422300007, 100.4934412370001 13.74080221800006, 100.49431179 13.74174269800005, 100.4948757320001 13.74263419500005, 100.495030506 13.74279709200005, 100.4962481200001 13.74405861500003, 100.4963616860001 13.74419240600002, 100.4964200790001 13.74428583500003, 100.4964425220001 13.74436027500008, 100.49645422 13.74447316000004, 100.496438991 13.74462695500006, 100.496375625 13.74502166200006, 100.4962822850001 13.74552055400005, 100.4962819200001 13.74628665200004, 100.4962917870001 13.74747641700003, 100.4963288340001 13.74848521400003, 100.4967752640001 13.74844301100006, 100.497152263 13.74841340900002, 100.4975528150001 13.74838110600007, 100.4977718540001 13.74836355900004, 100.4982203870001 13.74832498800004, 100.4985938620001 13.74829113900006, 100.4989228470001 13.74826353500004, 100.4989930260001 13.74825728700006, 100.4992212800001 13.74823697100004, 100.499260038 13.74823376200004, 100.4995773200001 13.74820749300005, 100.5000231970001 13.74816296100005, 100.5006033330001 13.74808773900003, 100.5011442320001 13.74802043400007, 100.5013079340001 13.74800340100006))"
100103,Wat Ratchabophit,วัดราชบพิธ,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.75,100.499,"POLYGON ((100.5014023240001 13.74817006900003, 100.5013079340001 13.74800340100006, 100.5011442320001 13.74802043400007, 100.5006033330001 13.74808773900003, 100.5000231970001 13.74816296100005, 100.4995773200001 13.74820749300005, 100.499260038 13.74823376200004, 100.4992212800001 13.74823697100004, 100.4989930260001 13.74825728700006, 100.4989228470001 13.74826353500004, 100.4985938620001 13.74829113900006, 100.4982203870001 13.74832498800004, 100.4977718540001 13.74836355900004, 100.4975528150001 13.74838110600007, 100.497152263 13.74841340900002, 100.4967752640001 13.74844301100006, 100.4963288340001 13.74848521400003, 100.4963706870001 13.74988719700002, 100.49628613 13.75086285200007, 100.4962483320001 13.75126971500003, 100.4964208010001 13.75128525100007, 100.4970535300001 13.75135446600007, 100.4976146670001 13.75141155000006, 100.4980228160001 13.75145406400003, 100.4981067320001 13.75146285500006, 100.4982114960001 13.75147383400002, 100.4987993350001 13.75154397300003, 100.4993385490001 13.75161580700006, 100.4999072090001 13.75167424500006, 100.5004797780001 13.75173513900006, 100.5005035140001 13.75173772500005, 100.5006360470001 13.75175214500007, 100.5007043090001 13.75176714200006, 100.500880324 13.75180581300003, 100.5013389550001 13.75176139900003, 100.5017494040001 13.75175511300006, 100.5018963470001 13.75174482700004, 100.501481073 13.74830505000006, 100.5014023240001 13.74817006900003))"
100104,Samran Rat,สำราญราษฎร์,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.751,100.503,"POLYGON ((100.505542888 13.75378260200006, 100.5051611870001 13.75211276300007, 100.5044209330001 13.74896025800007, 100.504172892 13.74794823300005, 100.504115863 13.74770677300006, 100.5037434500001 13.74775384300005, 100.503589074 13.74776997600003, 100.5034667730001 13.74780077300005, 100.503296805 13.74785450900004, 100.50320988 13.74786581800004, 100.5029229820001 13.74788999400005, 100.5023634630001 13.74793598800005, 100.5016950250001 13.74798051600004, 100.5013079340001 13.74800340100006, 100.5014023240001 13.74817006900003, 100.501481073 13.74830505000006, 100.5018963470001 13.75174482700004, 100.502013016 13.75190209300007, 100.502036967 13.75206591300002, 100.5020740910001 13.75231981200005, 100.5021483510001 13.75288947000007, 100.5021788430001 13.75312337700007, 100.5021962470001 13.75325687800006, 100.5023714260001 13.75444563600007, 100.5023802150001 13.75450131000002, 100.502393806 13.75458996200007, 100.502527134 13.75454834100003, 100.5028183220001 13.75447358200006, 100.5029545900001 13.75443682800005, 100.5032888570001 13.75434754600008, 100.5034478320001 13.75430438000006, 100.5036190440001 13.75425943200003, 100.5038286830001 13.75420284100005, 100.5040348400001 13.75414912200006, 100.5042328280001 13.75409488500003, 100.5043854040001 13.75405460900004, 100.5045723380001 13.75400499900007, 100.5047522950001 13.75395885700004, 100.5048699430001 13.75393019800003, 100.5049299450001 13.75391728500006, 100.505012084 13.75389967700005, 100.505101794 13.75388088300002, 100.5052503480001 13.75385032600008, 100.5053703460001 13.75382336100006, 100.505542888 13.75378260200006))"
100105,San Chaopho Suea,ศาลเจ้าพ่อเสือ,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.754,100.497,"POLYGON ((100.498745216 13.75560216800005, 100.4987320150001 13.75550117500006, 100.4986933110001 13.75520500300007, 100.4986536700001 13.75490169100004, 100.4986102070001 13.75456908800004, 100.4985494800001 13.75411070700005, 100.4985112000001 13.75381717200003, 100.4984940370001 13.75372272900006, 100.4984613430001 13.75339143800005, 100.498427136 13.75314196400006, 100.4983950270001 13.75286047700007, 100.498358421 13.75260230400005, 100.498343246 13.75248823700002, 100.49830502 13.75220600600005, 100.4982114960001 13.75147383400002, 100.4981067320001 13.75146285500006, 100.4980228160001 13.75145406400003, 100.4976146670001 13.75141155000006, 100.4970535300001 13.75135446600007, 100.4964208010001 13.75128525100007, 100.4962483320001 13.75126971500003, 100.4961390780001 13.75236880000006, 100.495986126 13.75303641300007, 100.4957775460001 13.75395743100006, 100.4955902610001 13.75477213500005, 100.4953984250001 13.75569305100004, 100.4953182990001 13.75609126800003, 100.49521194 13.75658818200003, 100.495305338 13.75655791200006, 100.495412882 13.75652643000006, 100.495452072 13.75651326600007, 100.495499254 13.75649652800007, 100.4956327630001 13.75644440600007, 100.4957023030001 13.75641499900007, 100.4957402890001 13.75640144900007, 100.495971131 13.75634168000005, 100.4962991770001 13.75625469100004, 100.4963943860001 13.75622943500002, 100.496651623 13.75616127900003, 100.4969000610001 13.75609553200007, 100.4970024740001 13.75606866400005, 100.497194086 13.75601540100007, 100.497343302 13.75597493300006, 100.497506516 13.75593046200004, 100.4976413260001 13.75589321400003, 100.4978253210001 13.75584039000006, 100.4979789370001 13.75579832700004, 100.4981485590001 13.75575381700003, 100.4982305770001 13.75573294800006, 100.4984190150001 13.75568519000007, 100.4985218290001 13.75565753700005, 100.498745216 13.75560216800005))"
100106,Sao Chingcha,เสาชิงช้า,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.753,100.5,"POLYGON ((100.502013016 13.75190209300007, 100.5018963470001 13.75174482700004, 100.5017494040001 13.75175511300006, 100.5013389550001 13.75176139900003, 100.500880324 13.75180581300003, 100.5007043090001 13.75176714200006, 100.5006360470001 13.75175214500007, 100.5005035140001 13.75173772500005, 100.5004797780001 13.75173513900006, 100.4999072090001 13.75167424500006, 100.4993385490001 13.75161580700006, 100.4987993350001 13.75154397300003, 100.4982114960001 13.75147383400002, 100.49830502 13.75220600600005, 100.498343246 13.75248823700002, 100.498358421 13.75260230400005, 100.4983950270001 13.75286047700007, 100.498427136 13.75314196400006, 100.4984613430001 13.75339143800005, 100.4984940370001 13.75372272900006, 100.4985112000001 13.75381717200003, 100.4985494800001 13.75411070700005, 100.4986102070001 13.75456908800004, 100.4986536700001 13.75490169100004, 100.4986933110001 13.75520500300007, 100.4987320150001 13.75550117500006, 100.498745216 13.75560216800005, 100.4987548970001 13.75559983200003, 100.4989699020001 13.75554163400005, 100.499259226 13.75546928600005, 100.4994531890001 13.75542004800008, 100.4996295050001 13.75537324500004, 100.4998825340001 13.75530404900007, 100.500039728 13.75526485600005, 100.5007206860001 13.75507961500006, 100.500997092 13.75499957400007, 100.5011829040001 13.75494478400003, 100.501285339 13.75491429800007, 100.5015507200001 13.75483615900004, 100.501762758 13.75477701000005, 100.5019581110001 13.75472122600007, 100.502081983 13.75468454400004, 100.502240149 13.75463552200006, 100.502393806 13.75458996200007, 100.5023802150001 13.75450131000002, 100.5023714260001 13.75444563600007, 100.5021962470001 13.75325687800006, 100.5021788430001 13.75312337700007, 100.5021483510001 13.75288947000007, 100.5020740910001 13.75231981200005, 100.502036967 13.75206591300002, 100.502013016 13.75190209300007))"
100107,Bowon Niwet,บวรนิเวศ,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.757,100.501,"POLYGON ((100.5057079380001 13.75618228400003, 100.50598697 13.75570541400003, 100.5060241150001 13.75563854000006, 100.506037554 13.75557177000007, 100.5060417880001 13.75551073300005, 100.50601514 13.75541373600004, 100.505975731 13.75530434700005, 100.505542888 13.75378260200006, 100.5053703460001 13.75382336100006, 100.5052503480001 13.75385032600008, 100.505101794 13.75388088300002, 100.505012084 13.75389967700005, 100.5049299450001 13.75391728500006, 100.5048699430001 13.75393019800003, 100.5047522950001 13.75395885700004, 100.5045723380001 13.75400499900007, 100.5043854040001 13.75405460900004, 100.5042328280001 13.75409488500003, 100.5040348400001 13.75414912200006, 100.5038286830001 13.75420284100005, 100.5036190440001 13.75425943200003, 100.5034478320001 13.75430438000006, 100.5032888570001 13.75434754600008, 100.5029545900001 13.75443682800005, 100.5028183220001 13.75447358200006, 100.502527134 13.75454834100003, 100.502393806 13.75458996200007, 100.502240149 13.75463552200006, 100.502081983 13.75468454400004, 100.5019581110001 13.75472122600007, 100.501762758 13.75477701000005, 100.5015507200001 13.75483615900004, 100.501285339 13.75491429800007, 100.5011829040001 13.75494478400003, 100.500997092 13.75499957400007, 100.5007206860001 13.75507961500006, 100.500039728 13.75526485600005, 100.4998825340001 13.75530404900007, 100.4996295050001 13.75537324500004, 100.4994531890001 13.75542004800008, 100.499259226 13.75546928600005, 100.4989699020001 13.75554163400005, 100.4987548970001 13.75559983200003, 100.498745216 13.75560216800005, 100.4985218290001 13.75565753700005, 100.4984190150001 13.75568519000007, 100.4982305770001 13.75573294800006, 100.4981485590001 13.75575381700003, 100.4979789370001 13.75579832700004, 100.4978253210001 13.75584039000006, 100.4976413260001 13.75589321400003, 100.497506516 13.75593046200004, 100.497343302 13.75597493300006, 100.497194086 13.75601540100007, 100.4970024740001 13.75606866400005, 100.4969000610001 13.75609553200007, 100.496651623 13.75616127900003, 100.4963943860001 13.75622943500002, 100.4962991770001 13.75625469100004, 100.495971131 13.75634168000005, 100.4957402890001 13.75640144900007, 100.4957023030001 13.75641499900007, 100.4956327630001 13.75644440600007, 100.495499254 13.75649652800007, 100.495452072 13.75651326600007, 100.495412882 13.75652643000006, 100.495305338 13.75655791200006, 100.49521194 13.75658818200003, 100.4952055360001 13.75662756500003, 100.49512817 13.75691727800006, 100.494980538 13.75714754900002, 100.4949351980001 13.75720092200004, 100.4955086680001 13.75758050600007, 100.4957237790001 13.75770032900004, 100.4958493180001 13.75775371300006, 100.495971448 13.75780564900003, 100.4960419270001 13.75781994200003, 100.4961293760001 13.75782332000006, 100.4961998310001 13.75782223300007, 100.496292978 13.75781429100005, 100.496379629 13.75780193200006, 100.4965998580001 13.75776805300006, 100.497235957 13.75764755300003, 100.4982298640001 13.75743982900008, 100.4989536830001 13.75729083300007, 100.4989692240001 13.75739849200005, 100.4990376320001 13.75788622700003, 100.4990602500001 13.75807702500003, 100.4990987410001 13.75840787700002, 100.4991596880001 13.75890016300002, 100.4992281730001 13.75939916000004, 100.4992420300001 13.75955234800006, 100.4992408800001 13.75959892600002, 100.499240275 13.75962089600006, 100.4992398690001 13.75963127600005, 100.49922466 13.75969349100006, 100.4992144830001 13.75973198400004, 100.499175601 13.75979435300007, 100.4991365710001 13.75983864900007, 100.4990907950001 13.75989452900006, 100.49908186 13.75988919100007, 100.499069718 13.75988425700007, 100.499060725 13.75988203900005, 100.49904667 13.75988079500007, 100.4990460590001 13.75988074000003, 100.4990417230001 13.75988088900004, 100.499031739 13.75988215200005, 100.4990223630001 13.75988450500006, 100.4990220030001 13.75988462000004, 100.4990142490001 13.75988760900003, 100.4990062620001 13.75989178000003, 100.499000976 13.75989525600005, 100.4989981830001 13.75989736600008, 100.498988926 13.75990607300002, 100.4989833160001 13.75991315300007, 100.4989796630001 13.75991894300006, 100.4989762440001 13.75992577900007, 100.4989737240001 13.75993240700006, 100.4989731890001 13.75993411800005, 100.498971231 13.75994243800005, 100.4989701750001 13.75995598100008, 100.4989706170001 13.75996288900006, 100.4989718050001 13.75997015300004, 100.4989739960001 13.75997806800007, 100.49897751 13.75998661600005, 100.498982046 13.75999461500004, 100.4989848970001 13.75999867900003, 100.4997776370001 13.76118449800003, 100.5001536830001 13.76166991600007, 100.5022167690001 13.76031029300003, 100.5028078810001 13.75992702900004, 100.5038733270001 13.75923240900005, 100.5040120370001 13.75914340600002, 100.5041644010001 13.75901591900003, 100.5042836920001 13.75887509000006, 100.5046993590001 13.75807258300006, 100.5052402650001 13.75706588500003, 100.5057079380001 13.75618228400003))"
100108,Talat Yot,ตลาดยอด,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.76,100.498,"POLYGON ((100.5001536830001 13.76166991600007, 100.4997776370001 13.76118449800003, 100.4989848970001 13.75999867900003, 100.498982046 13.75999461500004, 100.49897751 13.75998661600005, 100.4989739960001 13.75997806800007, 100.4989718050001 13.75997015300004, 100.4989706170001 13.75996288900006, 100.4989701750001 13.75995598100008, 100.498971231 13.75994243800005, 100.4989731890001 13.75993411800005, 100.4989737240001 13.75993240700006, 100.4989762440001 13.75992577900007, 100.4989796630001 13.75991894300006, 100.4989833160001 13.75991315300007, 100.498988926 13.75990607300002, 100.4989981830001 13.75989736600008, 100.499000976 13.75989525600005, 100.4990062620001 13.75989178000003, 100.4990142490001 13.75988760900003, 100.4990220030001 13.75988462000004, 100.4990223630001 13.75988450500006, 100.499031739 13.75988215200005, 100.4990417230001 13.75988088900004, 100.4990460590001 13.75988074000003, 100.49904667 13.75988079500007, 100.499060725 13.75988203900005, 100.499069718 13.75988425700007, 100.49908186 13.75988919100007, 100.4990907950001 13.75989452900006, 100.4991365710001 13.75983864900007, 100.499175601 13.75979435300007, 100.4992144830001 13.75973198400004, 100.49922466 13.75969349100006, 100.4992398690001 13.75963127600005, 100.499240275 13.75962089600006, 100.4992408800001 13.75959892600002, 100.4992420300001 13.75955234800006, 100.4992281730001 13.75939916000004, 100.4991596880001 13.75890016300002, 100.4990987410001 13.75840787700002, 100.4990602500001 13.75807702500003, 100.4990376320001 13.75788622700003, 100.4989692240001 13.75739849200005, 100.4989536830001 13.75729083300007, 100.4982298640001 13.75743982900008, 100.497235957 13.75764755300003, 100.4965998580001 13.75776805300006, 100.496379629 13.75780193200006, 100.496292978 13.75781429100005, 100.4961998310001 13.75782223300007, 100.4961293760001 13.75782332000006, 100.4960419270001 13.75781994200003, 100.495971448 13.75780564900003, 100.4958493180001 13.75775371300006, 100.4957237790001 13.75770032900004, 100.4955086680001 13.75758050600007, 100.4949351980001 13.75720092200004, 100.4949329300001 13.75720556000005, 100.4949294410001 13.75720728900006, 100.494883572 13.75724735000006, 100.4948627630001 13.75727175200007, 100.4945250630001 13.75759217300003, 100.4945503200001 13.75767342500006, 100.4947047950001 13.75809917600003, 100.4948307060001 13.75841650000007, 100.4950712310001 13.75899944900004, 100.4951480130001 13.75913102700002, 100.4952013710001 13.75920726200007, 100.4952798580001 13.75930366600005, 100.495316609 13.75934602800004, 100.4953527320001 13.75938766500008, 100.4954516640001 13.75949556100005, 100.495665235 13.75972251400003, 100.4959171520001 13.75998314200007, 100.496148524 13.76022371800008, 100.4965963060001 13.76062417900005, 100.4970462530001 13.76103387300003, 100.4974299250001 13.76138305300003, 100.4976258740001 13.76156367100003, 100.4982667780001 13.76218123800004, 100.498314254 13.76224272500002, 100.4984001160001 13.76235392500007, 100.4985924580001 13.76268032600007, 100.498595589 13.76268550000003, 100.498850093 13.76253444800005, 100.4990009590001 13.76244170800004, 100.4994897240001 13.76212391300004, 100.4999344510001 13.76181575100003, 100.5001536830001 13.76166991600007))"
100109,Chana Songkhram,ชนะสงคราม,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.762,100.495,"POLYGON ((100.498595589 13.76268550000003, 100.4985924580001 13.76268032600007, 100.4984001160001 13.76235392500007, 100.498314254 13.76224272500002, 100.4982667780001 13.76218123800004, 100.4976258740001 13.76156367100003, 100.4974299250001 13.76138305300003, 100.4970462530001 13.76103387300003, 100.4965963060001 13.76062417900005, 100.496148524 13.76022371800008, 100.4959171520001 13.75998314200007, 100.495665235 13.75972251400003, 100.4954516640001 13.75949556100005, 100.4953527320001 13.75938766500008, 100.495316609 13.75934602800004, 100.4952798580001 13.75930366600005, 100.4952013710001 13.75920726200007, 100.4951480130001 13.75913102700002, 100.4950712310001 13.75899944900004, 100.4948307060001 13.75841650000007, 100.4947047950001 13.75809917600003, 100.4945503200001 13.75767342500006, 100.4945250630001 13.75759217300003, 100.4939444810001 13.75827757400003, 100.4938635650001 13.75836667400006, 100.4935771840001 13.75868966200005, 100.4928812320001 13.75948815700002, 100.4922231880001 13.76032254600005, 100.491872857 13.76076565700004, 100.4914756360001 13.76126808300006, 100.4909719880001 13.76192872400003, 100.494370179 13.76504358100004, 100.4948362680001 13.76556230900007, 100.4950673490001 13.76533575200006, 100.495493056 13.76491838900006, 100.495901739 13.76455310100005, 100.49629938 13.76421130600005, 100.496486201 13.76404415300004, 100.496641765 13.76392567200003, 100.4969514350001 13.76369607000004, 100.497178918 13.76354189400007, 100.4974408740001 13.76337281500003, 100.4980712670001 13.76299728100003, 100.4984504440001 13.76277331900008, 100.4985215200001 13.76273501600002, 100.498595589 13.76268550000003))"
100110,Ban Phan Thom,บ้านพานถม,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.762,100.503,"POLYGON ((100.5076731990001 13.75995215100005, 100.5069906310001 13.75849125600007, 100.506910868 13.75832054200004, 100.5068392960001 13.75816735600006, 100.506568826 13.75759702000005, 100.5064031960001 13.75724775600003, 100.5063307390001 13.75709496800005, 100.506293461 13.75701452400006, 100.5062193640001 13.75685462200005, 100.506143077 13.75669000200003, 100.5061365000001 13.75667512300004, 100.506135515 13.75667367800003, 100.5059967870001 13.75637431400003, 100.5059372690001 13.75633220200007, 100.5058450930001 13.75626698100007, 100.5057079380001 13.75618228400003, 100.5052402650001 13.75706588500003, 100.5046993590001 13.75807258300006, 100.5042836920001 13.75887509000006, 100.5041644010001 13.75901591900003, 100.5040120370001 13.75914340600002, 100.5038733270001 13.75923240900005, 100.5028078810001 13.75992702900004, 100.5022167690001 13.76031029300003, 100.5001536830001 13.76166991600007, 100.4999344510001 13.76181575100003, 100.4994897240001 13.76212391300004, 100.4990009590001 13.76244170800004, 100.498850093 13.76253444800005, 100.498595589 13.76268550000003, 100.4986881190001 13.76284245300008, 100.4988700440001 13.76315722400005, 100.4990597180001 13.76348043100006, 100.4991715370001 13.76367330200003, 100.4993807260001 13.76402415900003, 100.499647699 13.76446998400007, 100.4998691760001 13.76484492800006, 100.500158952 13.76533125000003, 100.5003253850001 13.76561889600003, 100.500451936 13.76583761100005, 100.500577944 13.76604934600005, 100.500578476 13.76604946900005, 100.5005901280001 13.76606959700007, 100.5009867030001 13.76672858400008, 100.5011072720001 13.76692842900007, 100.5013300210001 13.76679697600002, 100.501384407 13.76676185200006, 100.5016222410001 13.76660824600003, 100.50193461 13.76639185400006, 100.502013811 13.76633271900005, 100.502156201 13.76622827300002, 100.502221288 13.76616235800003, 100.5023105260001 13.76605733700006, 100.5023579850001 13.76597318900002, 100.502432787 13.76584065800006, 100.5024554650001 13.76580047900006, 100.502599848 13.76552519400008, 100.5026688 13.76538694500005, 100.502707904 13.76531356000004, 100.5027725580001 13.76520898200005, 100.5027891080001 13.76518079100003, 100.5028416690001 13.76509124200004, 100.5028468520001 13.76508241100004, 100.5030807570001 13.76468039400004, 100.5031211400001 13.76460906200003, 100.503194266 13.76447989900004, 100.503346025 13.76422029700007, 100.5033754290001 13.76416903600006, 100.503403361 13.76412035100003, 100.5035164880001 13.76392315300006, 100.5035426680001 13.76387751600004, 100.5035427650001 13.76387752000005, 100.5035560600001 13.76385445200003, 100.5035560810001 13.76385414000003, 100.503561264 13.76384542100004, 100.503681928 13.76364254600003, 100.5039609950001 13.76313968400007, 100.5041486970001 13.76281247900005, 100.504197026 13.76273862500005, 100.5043380850001 13.76248726900008, 100.5044034900001 13.76237660700002, 100.5045498860001 13.76212697200003, 100.504593201 13.76204853000007, 100.5046385040001 13.76196649600007, 100.5046608980001 13.76192977700003, 100.5047358610001 13.76181192000007, 100.5048109300001 13.76171794900006, 100.5048860950001 13.76162384700007, 100.5050537100001 13.76143226300007, 100.5051382120001 13.76134336900003, 100.5052188320001 13.76125855700008, 100.5052638500001 13.76122085000003, 100.5053335710001 13.76116713600004, 100.5053949790001 13.76111982900005, 100.505564372 13.76098932200006, 100.5056365730001 13.76094009100007, 100.5056803130001 13.76091026500006, 100.5058533000001 13.76080385800003, 100.505869079 13.76079415300006, 100.505946367 13.76075292600007, 100.5060213460001 13.76071293400003, 100.506205089 13.76062267400005, 100.50624308 13.76060636000005, 100.506332011 13.76056817200003, 100.5063634690001 13.76055466000003, 100.5067795510001 13.76036257400006, 100.5074909960001 13.76003575100003, 100.5076731990001 13.75995215100005))"
